study,station.x,operatn,year,X,Y,Tax_Div,Tax_Even,Tax_Rich,logab,logabI,Strahler,Catchment6_size,Ships,Ports,Locks,Channelization,Rip_Deg,Urban_new,Agriculture_new,fric_new,feve_new,fdiv_new,ports_5k,locks_5k
BelgianH,BelgianH_123000,BelgianH_123000_1994_250955,1994,5.68,50.888,1.950682057,0.150052466,13,4.9698133,1.609437912,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.052056716,0.539097,0.544684787,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1995_21423811,1995,5.68,50.888,9.310344828,0.620689655,15,4.510859507,1.386294361,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.12298717,0.638204,0.568804973,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1995_21423828,1995,5.68,50.888,4.749673866,0.237483693,20,5.549076085,0.693147181,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.232357992,0.604034,0.612397653,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1995_250956,1995,5.68,50.888,4.004499521,0.25028122,16,5.455321115,2.63905733,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.125061331,0.502033,0.717643164,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1996_324839,1996,5.68,50.888,9.743075454,0.512793445,19,5.313205979,3.135494216,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.15204809,0.763347,0.675467199,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1997_982118,1997,5.68,50.888,13.59765625,0.54390625,25,4.779123493,2.63905733,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.131337575,0.761985,0.759478098,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1999_11023373,1999,5.68,50.888,10.55444588,0.527722294,20,5.894402834,4.17438727,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.200192381,0.751567,0.771499976,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_1999_21423863,1999,5.68,50.888,5.689998814,0.406428487,14,5.393627546,2.63905733,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.179599318,0.554499,0.895601481,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2000_21033382,2000,5.68,50.888,12.68674699,0.704819277,18,4.770684624,2.63905733,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.151831121,0.603225,0.680518023,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2000_21043525,2000,5.68,50.888,6.205128205,0.564102564,11,3.135494216,0.693147181,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.033313949,0.776966,0.596033132,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2001_21062098,2001,5.68,50.888,4.062847167,0.23899101,17,5.771441123,4.682131227,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.188872491,0.628908,0.781614791,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2003_21129871,2003,5.68,50.888,9.403428437,0.361670325,26,5.648974238,3.63758616,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.265286243,0.548647,0.606337064,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2004_21174474,2004,5.68,50.888,6.152073236,0.227854564,27,5.826000107,2.833213344,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.240372742,0.401821,0.810427923,1.207217158,0.937610503
BelgianH,BelgianH_123000,BelgianH_123000_2004_21181415,2004,5.68,50.888,3.57874375,0.210514338,17,6.837332815,3.610917913,6,1.599819171,0.123270556,1.501397643,-0.170008962,0.004097659,-0.085210415,1.046912687,0.305211389,0.133738535,0.566547,0.745620053,1.207217158,0.937610503
