"","ships","canals","ports","locks"
"GermanH_55_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_56_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_57_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_58_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_59_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_60_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_61_1999",-0.514667862060474,-0.138136149146722,-0.541494254,-0.599130499
"GermanH_62_1999",-0.408635691533666,-0.350509326833845,-0.541494254,-0.599130499
"GermanH_38_1999",-0.526928718170078,0.169085081345034,2.955928569,-0.599130499
"GermanH_43_1999",-0.237005236700352,0.466030888866654,2.955928569,-0.599130499
"GermanH_75_1999",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_74_1999",-0.49105477665844,-0.183974341351875,-0.541494254,0.169240002
"GermanH_47_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_48_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_13_1999",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_14_1999",-0.497024589887433,-0.690796885893978,-0.541494254,-0.599130499
"GermanH_40_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_41_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_42_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_49_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_37_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_39_1999",-0.210984003047934,-0.373789110209708,-0.541494254,-0.599130499
"GermanH_45_1999",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_46_1999",-0.356733451888154,0.158602332598067,-0.541494254,-0.599130499
"GermanH_17_1999",-0.548437404864841,-0.714416072248321,-0.541494254,-0.599130499
"GermanH_18_1999",-0.548073517951706,-0.688876346245925,-0.541494254,-0.599130499
"GermanH_19_1999",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_20_1999",0.1949482861642,-0.634374873184984,-0.541494254,-0.599130499
"GermanH_35_1999",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_36_1999",-0.390219098054053,-0.480778676616664,-0.541494254,0.169240002
"GermanH_65_1999",-0.49166054896141,-0.797169093177678,-0.541494254,0.937610503
"GermanH_8_1999",3.51071347739616,-0.574355629572732,1.207217158,-0.599130499
"GermanH_28_1999",-0.542522353729628,-0.452166855703473,-0.541494254,0.169240002
"GermanH_79_1999",-0.094703219798973,-0.592064938429191,1.207217158,0.937610503
"GermanH_31_1999",-0.319336925364831,-0.776716287194108,-0.541494254,0.937610503
"GermanH_82_1999",-0.0832696673838067,-0.71802453138826,-0.541494254,-0.599130499
"GermanH_80_1999",-0.536156197818544,-0.536969708456793,-0.541494254,0.169240002
"GermanH_44_1999",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
"GermanH_71_2000",-0.548501904097531,-0.641346832587066,-0.541494254,-0.599130499
"GermanH_67_2000",2.63653437163681,-0.154026977209732,2.955928569,0.937610503
"GermanH_75_2000",2.30283363213076,-0.499472139536871,2.955928569,0.169240002
"GermanH_43_2000",-0.237005236700352,0.466030888866654,2.955928569,-0.599130499
"GermanH_44_2000",-0.237005236700352,0.466030888866654,-0.541494254,0.169240002
