station.x,SUB_AREA,UP_AREA,layer
Wolter_Danube_SK39,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK39,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK39,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK39,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK39,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK40,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK40,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK40,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK40,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK40,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK41,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK41,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK41,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK41,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK41,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK42,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK42,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK42,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK42,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK42,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK43,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK43,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK43,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK43,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK43,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK44,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK44,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK44,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK44,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK44,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK45,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK45,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK45,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK45,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK45,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK46,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK46,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK46,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK46,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK46,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK47,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK47,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK47,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK47,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK47,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK48,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK48,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK48,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK48,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK48,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK49,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK49,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK49,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK49,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK49,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK50,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK50,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK50,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK50,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK50,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK51,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK51,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK51,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK51,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK51,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK52,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK52,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK52,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK52,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK52,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK53,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK53,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK53,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK53,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK53,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK54,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK54,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK54,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK54,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK54,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK55,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK55,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK55,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK55,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK55,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK56,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK56,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK56,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK56,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK56,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK57,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK57,211260.4,211260.4,hybas_eu_lev04_v1c
Wolter_Danube_SK57,795318.4,795318.4,hybas_eu_lev03_v1c
Wolter_Danube_SK57,716.1,131624.9,hybas_eu_lev06_v1c
Wolter_Danube_SK57,716.1,131624.9,hybas_eu_lev07_v1c
Wolter_Danube_SK58,716.1,131624.9,hybas_eu_lev05_v1c
Wolter_Danube_SK58,211260.4,211260.4,hybas_eu_lev04_v1c
